"tr";"mese";"annrif";"progind";"sesso";"eta10";"staciv4";"pnasc";"reg";"rip";"istr4";"condogg";"posiz4";"ateco3";"cond4";"ORARIO";"RAPP";"CODPROF7";"progvia";"TIPOVGG";"DEST_RE";"DEST_PR";"DEST_IE";"GGINIZ";"MMINIZ";"AAINIZ";"DURATA";"MOTVAC";"MEZZO";"ALLOG";"MOTLAV";"ORGALL";"ORGTRA";"ALPART";"IORGALL";"IORGTRA";"TIPOMARE";"TIPOCROC";"TIPOMONT";"TIPOCITTA";"TIPOCAMP";"TIPOALTRO";"W";"COEV";"TRIM";"npart";"tipo";"ESPE_CO";"ESPE_GIO";"piattall1";"piattall2";"piattall3"
3;9;2019;487;1;4;2;1;50;2;3;1;1;3;1;1;2;3;1;"V0919";5;27;1;20;9;2019;2;1;5;14;NA;3;3;1;NA;NA;1;2;2;2;2;2;10307.425984;30922.277951;3;4;7;17;9;NA;NA;NA
3;2;2019;504;2;1;1;1;180;4;1;NA;NA;NA;NA;NA;NA;NA;1;"V0219";15;61;1;15;2;2019;2;1;5;18;NA;2;3;1;1;NA;2;2;2;1;2;2;1768.4575634;5305.3726901;1;4;8;270;135;1;2;2
3;2;2019;504;2;1;1;1;180;4;1;NA;NA;NA;NA;NA;NA;NA;2;"V0219";18;78;1;23;2;2019;1;1;5;18;NA;1;3;1;2;NA;2;2;1;2;1;2;1768.4575634;5305.3726901;1;4;5;81;81;NA;NA;NA
3;12;2019;514;2;3;1;1;30;1;4;3;NA;NA;3;NA;NA;NA;1;"V1219";12;58;1;18;12;2019;3;1;2;14;NA;3;1;2;NA;1;2;2;2;1;2;2;6652.4119187;19957.235756;4;1;7;250;83;NA;NA;NA
3;12;2019;514;2;3;1;1;30;1;4;3;NA;NA;3;NA;NA;NA;2;"V1219";7;10;1;27;12;2019;3;1;5;13;NA;3;3;1;NA;NA;1;2;2;2;2;2;6652.4119187;19957.235756;4;3;7;207;69;NA;NA;NA
3;11;2019;528;2;5;2;1;50;2;4;1;1;2;1;1;2;1;1;"L1119";5;26;1;20;11;2019;2;NA;5;1;1;1;3;2;3;NA;NA;NA;NA;NA;NA;NA;4885.6802188;14657.040656;4;1;NA;315;158;NA;NA;NA
3;6;2019;532;1;7;2;1;50;2;4;1;3;3;1;NA;NA;2;1;"L0619";167;NA;2;10;6;2019;6;NA;1;1;14;2;2;2;3;1;NA;NA;NA;NA;NA;NA;9278.3723236;27835.116971;2;1;NA;602;100;NA;NA;NA
3;6;2019;532;1;7;2;1;50;2;4;1;3;3;1;NA;NA;2;2;"L0619";4;22;1;4;6;2019;3;NA;5;1;14;3;3;2;NA;NA;NA;NA;NA;NA;NA;NA;9278.3723236;27835.116971;2;1;NA;182;61;NA;NA;NA
3;6;2019;535;1;6;2;1;70;1;2;1;4;2;1;NA;NA;5;1;"V0619";9;46;1;29;6;2019;1;1;8;7;NA;3;3;1;NA;NA;2;2;1;2;2;2;5629.093526;16887.280578;2;2;7;36;36;NA;NA;NA
3;4;2019;538;2;5;2;1;10;1;4;1;3;3;1;NA;NA;2;1;"V0419";8;38;1;21;4;2019;6;1;5;14;NA;3;3;1;NA;NA;1;2;2;2;2;2;6750.9667889;20252.900367;2;5;7;110;18;NA;NA;NA
3;4;2019;544;1;8;4;1;90;3;3;3;1;3;4;NA;NA;2;1;"V0419";9;49;1;21;4;2019;5;1;5;14;NA;3;3;2;NA;NA;1;2;2;2;2;2;5110.2645136;15330.793541;2;1;2;104;21;NA;NA;NA
3;9;2019;554;2;7;2;1;90;3;2;3;1;3;4;NA;NA;3;1;"V0919";8;37;1;2;9;2019;5;1;5;13;NA;3;3;1;NA;NA;2;2;1;2;2;2;3805.883355;11417.650065;3;2;7;134;27;NA;NA;NA
3;8;2019;556;1;2;1;1;30;1;2;3;NA;NA;3;NA;NA;NA;1;"V0819";19;85;1;25;7;2019;29;1;1;14;NA;3;4;2;NA;NA;1;2;2;2;2;2;10167.495469;30502.486407;3;1;2;857;30;NA;NA;NA
3;11;2019;558;1;4;1;1;60;2;3;1;1;3;1;1;2;3;1;"V1119";9;46;1;31;10;2019;3;1;2;11;NA;1;1;2;2;1;2;2;2;1;2;2;962.8395941;2888.5187822;4;1;8;320;107;NA;NA;NA
3;7;2019;566;2;3;2;1;110;3;4;1;1;2;1;1;2;3;1;"V0719";9;53;1;6;7;2019;2;1;5;1;NA;2;3;1;1;NA;1;2;2;1;2;2;3114.3232495;9342.9697484;3;2;7;206;103;1;2;2
